title,year,certificate,runtime,genre,rating,image
Life of Pi,2012,U,127 min,"Adventure, Drama, Fantasy            ",7.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAT77n7XWlcNqCL0tAi_JmPfxMt2ArSsToxp_ER33P_JWIo1IOg5BAscGiR0U&s
Lincoln,2012,U,150 min,"Biography, Drama, History            ",7.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJDqTtJE1yPtblugv_eyEiTCgXEZo-c_pvH_2dPVKvSjqDiS94qPiBa1cdQWg&s
Liger,2022,UA,140 min,"Action, Drama, Romance            ",3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ9bD2FooUmlowkw5WcUH_S9-BmQj4k7ZYvYLnqxTbb18lpPEzHAHZRmvSIS24&s
Mismatched,2020–,15+,30 min,"Comedy, Drama, Romance            ",5.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTv5p6tKYkBjbFWrBJWhr3qxgxF6esuoKFRi7lINvp6XU7TiXrEV5ygGVcw8A&s
Nitham Oru Vaanam,2022,U,146 min,Drama            ,7.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhxMn75WHUaaIPU0LSVcikc26f8uRhjceTLCcqpjFjbW32ODthhwIq-Vwgyg&s
HIT: The First Case,2022,UA,132 min,"Action, Crime, Drama            ",6.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsW79ED59E5QBoOWXeA1IHdC2eBdQZlYLnKej14m8ZRk8_wKNvaFleKghS1h8&s
Hit,2020,UA,125 min,"Action, Crime, Drama            ",7.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqBV4NUfD0NZ8JYTNzHfFv3RZe414LEl8X1lfFLHzMlxMh90knU3zJAZNniVI&s
The Girl on the Train,2016,A,112 min,"Crime, Drama, Mystery            ",6.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSlDWP1q7BXFw-yTjJaofsCAOFBGMvLCL1CzUiTtJZIO0oHwlznm956q7pAQv0&s
Lion,2016,U,118 min,"Biography, Drama            ",8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTrL3DmfLPszjQzPQtCqFH4Dt4aqlKD-Rg4zISrOjNBO0bI2Ltz6tB7vts-Pg&s
Uunchai,2022,U,173 min,"Adventure, Drama            ",7.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTqSK7sbLB7UTOOlovR_H0eD0o5vkRZR_xWoOAPpKFQAAxhAg430EKyDKP9OQY&s
Kooman,2022,UA,153 min,"Drama, Mystery, Thriller            ",7.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfNUcYwLUspt1A3uWahykFRlUyJSJCmtKqFTAcgcmuo0-O4I9WH8WOkWjsQQ&s
Doctor G,2022,A,124 min,"Comedy, Drama            ",7.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ7DEF3YK9ZTD80vB4srAYfyJ90DCvwp3wmj2ZWjM_7vzHcl63n_hB74AAoB5Y&s
Rorschach,2022,UA,150 min,"Action, Mystery, Thriller            ",7.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSAmgBdbtxE4PoJNavEEbKJm3gdHXYagpmTirHPeJYQ7Qg74uQLV5frKUeYbc&s
Four More Shots Please!,2019–2022,18+,60 min,"Comedy, Drama, Romance            ",7.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWwGzHd1stvbc2fduK4nEKBLZQ_2-BMD-Lhq67pZfdJ5jt9BndaM9898rOBg&s
Karthikeya 2,2022,UA,150 min,"Action, Adventure, Fantasy            ",7.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR3dhAgCJF1kwmuO_rOWDZJSdyOld2B5P6svYKM04kDr6caRSD6oMZ6ZfnikA&s
Laal Singh Chaddha,2022,UA,159 min,"Comedy, Drama, Romance            ",5.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYtWBuNnkHUEOO69jRH0Us3wBavh9mT_w9bFhldUQUc5ogwcDlWSKpDWSKPBQ&s
The Family Man,2019–,16+,45 min,"Action, Comedy, Drama            ",8.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmm3jqf-yTYllGgLX6gX5WJkbA3-dqp5xzok0mSUNKAIW0iK4Is54x1BO9ow&s
The Legend of Hanuman,2021–,PG,25 min,Animation            ,9.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWBzxxbCpf0NSZlJ3OVg1SE0d10tLKR2WsyhLAiw9gD4P8bWRqeZdWhzkXnWk&s
Thank God,2022,UA,121 min,"Comedy, Fantasy            ",6.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSHKLk8uQRBSzIn7ahs-ZVuXIDadPwa6hakOSStX7oJOwRIHZJWKE3LbbNR0g&s
K.G.F: Chapter 2,2022,UA,168 min,"Action, Crime, Drama            ",8.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2f9Ley03VlQLtopX0U4kU_xWuePT98VPntN9kUhOyu1DetAyujXTIQNNNvg&s
I Am Number Four,2011,UA,111 min,"Action, Adventure, Sci-Fi            ",6.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcToIWngXLkLzhnWwmIdGCdzarXMiiXbthRH9cv_BHWzjaDCWGdpyelghSUipg&s
The Bourne Supremacy,2004,A,108 min,"Action, Mystery, Thriller            ",7.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbK_HOB11ptJu7lSM_1hZ1j_NQ4goOixCG5Z0lSiODjxzQtRtvVHimNjiIBLk&s
The Fall,I 2006,R,117 min,"Adventure, Drama, Fantasy            ",7.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTa693SQrCAevNf2DfiMFC9JRAt9s6WZQPSo_3SJG4sjLlroe6DoCt0w06QQ6I&s
Scam 1992: The Harshad Mehta Story,2020,18,54 min,"Biography, Crime, Drama            ",9.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQCTABybfFeSBdokI5LYN7QGVj6Qf3o0_t8xscOPPXD3MID47W_U5gC7j1lQ&s
Padavettu,2022,UA 16+,145 min,"Action, Drama, Thriller            ",7.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT9sErgbIi7Z3l41ojC9FBB95n6kbXbG-75EwvImCFBRRx4BLVnZF-7gKMj0g&s
The Foreigner,I 2017,A,113 min,"Action, Thriller            ",7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtd6lX5wrfurwZKbynxWJc6R98luaaZqV7-VRtuNsBBTh8jLz7Mq4XVH0ugYE&s
Drishyam 2,2021,13,152 min,"Crime, Drama, Thriller            ",8.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQWo-wZvv4ycil0GHtE2PvYiRfArAg4pQNVbrMnBwJ0BZIxMuN5hi040ptghg&s
Real Steel,2011,UA,127 min,"Action, Drama, Sci-Fi            ",7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRTgi0BsmT9a1iSrdzaG2waoMDYHC2msDeaIoTyZZaDWbUDG_kgzFgLBCsNQ&s
The Trial of the Chicago 7,2020,18,129 min,"Drama, History, Thriller            ",7.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRzh20-0aobgxqVaaCSm2fEEJ01P-MiLJIHYVUdNswqAxi8X4Ocnhm_DSYozA&s
The BFG,2016,UA,117 min,"Adventure, Family, Fantasy            ",6.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT3lUjCWNR98707AIa1Yj2Qp7DzfAU_JySm2aITsnZVRRnOT3y1iYcrdy-QeQ&s
War Horse,2011,U,146 min,"Action, Adventure, Drama            ",7.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSihyGhWlyv3ICLZUxKjKhfZab4Uci0U9p1Q_woyhJQKfcE3pUqCFJib0a-PA&s
Cirkus,2022,UA,112 min,"Comedy, Drama            ",8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoU89UTM_fPk1eC23lCpno-EJPHXyatSRbwbA5D6-fG_P6Po9NguWr5pnHsA&s
Bãhubali: The Beginning,2015,UA,159 min,"Action, Drama            ",8.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ4cxtqdfUati_SBtVi06IF_qQ0JLqBDtonMfVIM8NBXJGpGu4lnu9ULUOCopw&s
Tapana,2022,A,96 min,Romance            ,8.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwy9H7sy_yluz-qjEGxjz7DWkC64izs6dQD1hHv3INM6bpA9Hr6DQ9qQSssmg&s
Panchayat,2020–,16,35 min,"Comedy, Drama            ",8.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSR3ZSrw66iY2Km8i4_bhKpcHmWU_ia-cBX9snPY3sLQC2WJKrQnQd3pgbQLlw&s
Crushed,2022–,UA 13+,27 min,"Comedy, Drama, Romance            ",8.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-YmT-tZSPaD-pmsQ87x8jNM1L1kdgBgqoniNw9yd6PaPKHI-XSe9otVr_lA&s
Gandhi,1982,U,191 min,"Biography, Drama, History            ",9.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMFxjaLfJBlSJPnOPXJm3IFU877cenvhTqK2jw8XsX7T8s5ELqj-YzTlS6cd0&s
Kabir Singh,2019,A,173 min,"Action, Drama, Romance            ",5.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSYfyBZ5eM2v0BaonVrp9ZjjRjQQTvuP5Ptmxx9B9lPLhA1mlAo1rdvJNBtlM&s
Conan the Barbarian,2011,A,113 min,"Action, Adventure, Fantasy            ",6.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSAU44MFoV3UfaiuOb1qOWiJTqXJ4ZejlU6G_SxOqZYzphpxwrXsTdJ0nxDtM&s
Need for Speed,2014,UA,132 min,"Action, Thriller            ",7.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYfyWiiDbcBPuymPJv0E-R728OwU7V9yoPixauMbKUixuCbCfP6FQhiiOiVEg&s
The Darjeeling Limited,2007,R,91 min,"Adventure, Comedy, Drama            ",7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRG7VKU8gOFDK30j_0uqWZ5HO1tqcyZ9iNKUQuLvVzHDL1wm-wLa8LEL1nd-nA&s
Phone Bhoot,2022,UA,136 min,"Comedy, Horror            ",7.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcStO9XrCIsyRUMUwYbyzBG767d9UuHutIju_eEwW-sX9a6OAXaeslOzGSNwxQ&s
Iss Pyaar Ko Kya Naam Doon,2011–2018,PG,22 min,"Drama, Romance            ",9.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQBjkXLwQswU4BoJ65Vcmy7XIXN_7bVMzAez9G3wCmEtfB8nFajIdfbQt1qzA&s
Maarrich,2022,UA,126 min,"Crime, Mystery, Thriller            ",8.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT8xylXqdVWf28xgIwOmL3vdIFy5O7lN5xRFvtMsPgX1m5_URjtw1FkqEdljg&s
Sacred Games,2018–2019,A,50 min,"Action, Crime, Drama            ",9.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQpKoOYXesvGv6-vlb62G1ys-qlT107kXy6FNamHe9WBwpgWUhJtpgTuRv6C1Q&s
Kota Factory,2019–2021,16,45 min,"Comedy, Drama            ",7.7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFwpJIxMgF3SsUZ08_6DOX6VHAopasQLn2AcLDWckUpwTZ0fncpYy6IBvpseM&s
Chhello Show,2021,U,110 min,Drama            ,6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTD_GqeOp8UPFV2DNv40nxfn9REFwGL6AS9tKICnvBLqHqfKh7pQGvA0FR2WoM&s
Cowboys & Aliens,2011,13,119 min,"Action, Sci-Fi, Thriller            ",8.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnwjqhYYQMNbrUG1a9GGCpv5eDRJdMpRDH9kU-JBmjLJ402L6YRyYTD38aUR4&s
777 Charlie,2022,UA,136 min,"Adventure, Comedy, Drama            ",8.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqDrWVdetH_9zszcm_5HfLmWsb7X7rfhSWJfES6UN8ag6QJkTk9p4-r3VrFl8&s
Rocketry: The Nambi Effect,2022,UA,157 min,"Biography, Drama            ",8.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTILiZLaMxNTgdVeY55aGF6U1N9xIK1NpgPrYg9Kxu9IL9PtgqSwCKDBBQYgw&s
Major,2022,UA,150 min,"Action, Biography, Drama            ",9.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRnSXq6eKEHPsCeLMmpfj2gf9-_CHCsj1qHJrSEWlbDKKouLUT4h0Ix3KYxU2U&s
TVF Pitchers,2015–2022,Not Rated,40 min,"Comedy, Drama            ",7.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSrkersaIqLDyk0nsETpZpbXtA0WBzXr_oQZRdULCOMwXDzn7TzXtYWzHcmG4&s
The Hundred-Foot Journey,2014,PG,122 min,"Comedy, Drama            ",7.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRy0pKju33GO3J8dmlvx6TlrxfVnJi_iPfPv18z-7dpj3LRe7BP-V9O2XCS6Q&s
Pathaan,2023,UA,146 min,"Action, Drama, Thriller            ",8.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFYM4nZcv_ROYP00QY5M3MlSTO8iDvAIW2RJ5hTsblhmyqe1rUwM7fNABT_A&s
Pushpa: The Rise - Part 1,2021,UA,179 min,"Action, Crime, Drama            ",7.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSM2vzKypDLb6zPleM1Ln3j5pzIQ-0--GP1zYpyHzfgcjQ7JaI3bs0tl7t5-z4&s
Gangubai Kathiawadi,2022,UA,152 min,"Biography, Crime, Drama            ",7.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRUlbNV07W98ow6qS4feKmFifVbHJSAuojmoUxlaaccmFGQUaukpK4qc6do5Q&s
Vikram,2022,UA,175 min,"Action, Crime, Thriller            ",7.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcThaNjdIwbaEEWe2V8OQAKmsh0Jqq4-Pdy5r6Bv0uIkK8lSzIsrQlzNaZbZEw&s
The Way Back,I 2010,A,133 min,"Adventure, Drama, History            ",8.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtoiCJulSb1UH5OrvfbxEnlzEiftPrtbyyiPNNvuaGUo5nlhRYpg9fcL7NKg&s
A Dog's Purpose,2017,U,100 min,"Adventure, Comedy, Drama            ",8.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQSfadEHBg_lEEfq4omB-TpBSUuiKUPF6l1uHujxQXL7wTZZbfMrIbsdKWP7w&s
